item_id,status,sku,price,qty_ordered,grand_total,increment_id,category_name_1,discount_amount,payment_method,Working Date,BI Status, MV ,Customer ID
211189,canceled,UK_Soan Papdi Original 250 Gms,150,2,2210,100147477,Soghaat,0,cod,7/1/2016,Gross,300,28
211190,canceled,UK_Gift Box Soghaat 500 Gms,465,2,2210,100147477,Soghaat,0,cod,7/1/2016,Gross,930,28
211191,canceled,RS_Double Delight,380,1,2210,100147477,Soghaat,0,cod,7/1/2016,Gross,380,28
211192,canceled,Al Muhafiz Sohan Halwa Almond,350,1,350,100147478,Soghaat,0,cod,7/1/2016,Gross,350,29
211193,complete,UK_Gift Box Baklawa 500 Gms,425,1,425,100147479,Soghaat,0,cod,7/1/2016,Net,425,30
211194,complete,sputnik_2146/6-8,850,1,850,100147480,Women's Fashion,0,cod,7/1/2016,Net,850,31
211196,complete,kkc_Kingtox 450ml Classic Green All Insect Killer Spray,251,1,251,100147481,Home & Living,0,cod,7/1/2016,Net,251,32
211197,order_refunded,kcc_krone deal,360,1,360,100147482,Beauty & Grooming,0,cod,7/1/2016,Valid,360,33
211198,complete,Al Muhafiz Sohan Halwa Walnut,510,1,835,100147483,Soghaat,0,cod,7/1/2016,Net,510,34
211199,complete,RS_Honey Dry Fruit Halwa,325,1,835,100147483,Soghaat,0,cod,7/1/2016,Net,325,34
211200,complete,itter_AB 1214,300,1,300,100147484,Beauty & Grooming,0,cod,7/1/2016,Net,300,35
211202,order_refunded,Eco Star_40U557,30417,1,30417,100147486,Entertainment,0,cod,7/1/2016,Valid,"30,417",36
211201,order_refunded,kcc_krone deal,360,1,360,100147485,Beauty & Grooming,0,cod,7/1/2016,Valid,360,33
211203,complete,Al Muhafiz Sohan Halwa Almond,350,2,700,100147487,Soghaat,0,cod,7/1/2016,Net,700,37
211204,complete,Orient_OR-6057 GX LGFD LV,45250,1,45250,100147488,Appliances,0,cod,7/1/2016,Net,"45,250",38
211205,canceled,HOS_JPGCW100,8100,3,24588,100147489,Beauty & Grooming,0,cod,7/1/2016,Gross,"24,300",39
211206,canceled,kkc_Jasmine King Air Freshener,144,2,24588,100147489,Home & Living,0,cod,7/1/2016,Gross,288,39
211207,complete,asimjofaeanew_5A,5597,1,5597,100147490,Women's Fashion,0,cod,7/1/2016,Net,"5,597",40
211208,order_refunded,ajmery_F9-981,999,1,999,100147491,Men's Fashion,0,cod,7/1/2016,Valid,999,35
211209,refund,hijabh_JILBAB-C (1)-52x,4950,1,4950,100147492,Women's Fashion,0,cod,7/1/2016,Valid,"4,950",40
211211,order_refunded,noritake_NTM163M,805,1,805,100147493,Home & Living,0,cod,7/1/2016,Valid,805,41
211212,complete,kcc_krone deal,360,1,360,100147494,Beauty & Grooming,0,cod,7/1/2016,Net,360,35
211213,order_refunded,RS_Habshi Halwa Tin,280,1,280,100147495,Soghaat,0,cod,7/1/2016,Valid,280,35
211215,order_refunded,bata_comfit-8613714-43-9,999,1,999,100147497,Men's Fashion,0,cod,7/1/2016,Valid,999,42
211217,complete,kcc_krone deal,360,1,360,100147498,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211218,order_refunded,Al Muhafiz Sohan Halwa Almond,350,1,350,100147499,Soghaat,0,cod,7/1/2016,Valid,350,44
211219,order_refunded,Al Muhafiz Sohan Halwa Almond,350,1,350,100147500,Soghaat,0,cod,7/1/2016,Valid,350,44
211220,complete,UK_Namkino Mix Nimco 8 Pcs Gift Pack,760,1,1195,100147501,Soghaat,0,cod,7/1/2016,Net,760,13
211221,complete,RS_Gulab jaman Tin,435,1,1195,100147501,Soghaat,0,cod,7/1/2016,Net,435,13
211224,received,kcc_krone deal,360,1,360,100147504,Beauty & Grooming,0,cod,7/1/2016,Valid,360,43
211226,received,kcc_glamour deal,320,1,320,100147506,Beauty & Grooming,0,cod,7/1/2016,Valid,320,43
211227,complete,RS_Gulab jaman Tin,435,1,1195,100147507,Soghaat,0,cod,7/1/2016,Net,435,13
211228,complete,UK_Namkino Mix Nimco 8 Pcs Gift Pack,760,1,1195,100147507,Soghaat,0,cod,7/1/2016,Net,760,13
211229,received,kcc_Buy 2 Frey Air Freshener & Get 1 Kasual Body Spray Free,240,1,240,100147508,Beauty & Grooming,0,cod,7/1/2016,Valid,240,43
211230,received,kcc_krone deal,360,1,360,100147509,Beauty & Grooming,0,cod,7/1/2016,Valid,360,43
211231,order_refunded,Inoxy_Inoxy Hair Miracle Elixir,1875,1,1875,100147510,Beauty & Grooming,0,cod,7/1/2016,Valid,"1,875",45
211232,complete,UK_Namkino Mix Nimco 8 Pcs Gift Pack,760,1,1195,100147511,Soghaat,0,cod,7/1/2016,Net,760,13
211233,complete,RS_Chum Chum Tin,435,1,1195,100147511,Soghaat,0,cod,7/1/2016,Net,435,13
211234,received,kcc_krone deal,360,1,360,100147512,Beauty & Grooming,0,cod,7/1/2016,Valid,360,43
211235,received,kcc_krone deal,360,1,360,100147513,Beauty & Grooming,0,cod,7/1/2016,Valid,360,43
211236,complete,RS_Chum Chum Tin,435,1,1195,100147514,Soghaat,0,cod,7/1/2016,Net,435,13
211237,complete,UK_Namkino Mix Nimco 8 Pcs Gift Pack,760,1,1195,100147514,Soghaat,0,cod,7/1/2016,Net,760,13
211238,received,kcc_glamour deal,320,1,320,100147515,Beauty & Grooming,0,cod,7/1/2016,Valid,320,43
211239,complete,Dany_AUK-650 ,4200,1,4200,100147516,Mobiles & Tablets,0,cod,7/1/2016,Net,"4,200",46
211240,complete,UK_Namkino Mix Nimco 8 Pcs Gift Pack,760,1,1195,100147517,Soghaat,0,cod,7/1/2016,Net,760,13
211241,complete,RS_Chum Chum Tin,435,1,1195,100147517,Soghaat,0,cod,7/1/2016,Net,435,13
211244,complete,jackpot_JP-7999,1230,1,1230,100147519,Appliances,0,cod,7/1/2016,Net,"1,230",48
211245,complete,RS_Chum Chum Tin,435,1,1195,100147520,Soghaat,0,cod,7/1/2016,Net,435,13
211246,complete,UK_Namkino Mix Nimco 8 Pcs Gift Pack,760,1,1195,100147520,Soghaat,0,cod,7/1/2016,Net,760,13
211247,complete,UK_Namkino Mix Nimco 8 Pcs Gift Pack,760,1,1195,100147521,Soghaat,0,cod,7/1/2016,Net,760,13
211248,complete,RS_Chum Chum Tin,435,1,1195,100147521,Soghaat,0,cod,7/1/2016,Net,435,13
211249,received,kcc_glamour deal,320,1,320,100147522,Beauty & Grooming,0,cod,7/1/2016,Valid,320,43
211250,received,kcc_glamour deal,320,1,320,100147523,Beauty & Grooming,0,cod,7/1/2016,Valid,320,43
211251,canceled,Al Muhafiz Sohan Halwa Walnut,510,1,880,100147524,Soghaat,0,ublcreditcard,7/1/2016,Gross,510,49
211252,canceled,UK_Gift Box Pistachio Delight 500 Gms,370,1,880,100147524,Soghaat,0,ublcreditcard,7/1/2016,Gross,370,49
211254,received,kcc_glamour deal,320,1,320,100147526,Beauty & Grooming,0,cod,7/1/2016,Valid,320,43
211255,received,kcc_krone deal,360,4,1440,100147527,Beauty & Grooming,0,cod,7/1/2016,Valid,"1,440",43
211256,complete,kcc_krone deal,360,1,360,100147528,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211257,complete,kcc_glamour deal,320,1,320,100147529,Beauty & Grooming,0,cod,7/1/2016,Net,320,43
211258,order_refunded,kcc_Buy 2 Frey Air Freshener & Get 1 Kasual Body Spray Free,240,1,240,100147530,Beauty & Grooming,0,cod,7/1/2016,Valid,240,43
211259,canceled,Al Muhafiz Sohan Halwa Almond,350,1,350,100147531,Soghaat,0,cod,7/1/2016,Gross,350,51
211260,canceled,sst_Lyquin-Regular fit-Large,1950,1,2745,100147532,Men's Fashion,0,ublcreditcard,7/1/2016,Gross,"1,950",52
211262,canceled,Fcafe_11777-L,795,1,2745,100147532,Men's Fashion,0,ublcreditcard,7/1/2016,Gross,795,52
211264,complete,LC_359547105042,4750,1,12150,100147533,Beauty & Grooming,0,cod,7/1/2016,Net,"4,750",13
211265,complete,LC_3349668508587,7400,1,12150,100147533,Beauty & Grooming,0,cod,7/1/2016,Net,"7,400",13
211266,complete,kcc_glamour deal,320,1,320,100147534,Beauty & Grooming,0,cod,7/1/2016,Net,320,43
211267,complete,kcc_Buy 2 Frey Air Freshener & Get 1 Kasual Body Spray Free,240,1,240,100147535,Beauty & Grooming,0,cod,7/1/2016,Net,240,43
211268,order_refunded,RS_pheni Desi Ghee 1 kg ,520,1,520,100147536,Soghaat,0,cashatdoorstep,7/1/2016,Valid,520,44
211269,order_refunded,RS_pheni Desi Ghee 1 kg ,520,1,520,100147537,Soghaat,0,cashatdoorstep,7/1/2016,Valid,520,44
211270,complete,kcc_glamour deal,320,1,320,100147538,Beauty & Grooming,0,cod,7/1/2016,Net,320,43
211271,complete,kcc_krone deal,360,1,360,100147539,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211272,complete,kcc_krone deal,360,1,360,100147540,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211273,complete,kcc_glamour deal,320,1,320,100147541,Beauty & Grooming,0,cod,7/1/2016,Net,320,43
211274,complete,kcc_Buy 2 Frey Air Freshener & Get 1 Kasual Body Spray Free,240,1,240,100147542,Beauty & Grooming,0,cod,7/1/2016,Net,240,43
211275,complete,kcc_glamour deal,320,1,320,100147543,Beauty & Grooming,0,cod,7/1/2016,Net,320,43
211276,complete,Al Muhafiz Sohan Halwa Walnut,510,1,880,100147544,Soghaat,0,ublcreditcard,7/1/2016,Net,510,49
211277,complete,UK_Gift Box Pistachio Delight 500 Gms,370,1,880,100147544,Soghaat,0,ublcreditcard,7/1/2016,Net,370,49
211278,complete,kcc_krone deal,360,1,360,100147545,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211279,complete,UK_Gulab Jamun Tin Pack 500 Gms,260,1,600,100147546,Soghaat,0,cashatdoorstep,7/1/2016,Net,260,53
211280,complete,UK_Chum Chum Tin Pack  500 Gms,260,1,600,100147546,Soghaat,0,cashatdoorstep,7/1/2016,Net,260,53
211281,complete,UK_Namkino Mix Nimco 200 Gms,80,1,600,100147546,Soghaat,0,cashatdoorstep,7/1/2016,Net,80,53
211282,complete,kcc_glamour deal,320,1,320,100147547,Beauty & Grooming,0,cod,7/1/2016,Net,320,43
211284,complete,UK_Gulab Jamun Tin Pack 500 Gms,260,1,600,100147549,Soghaat,0,cashatdoorstep,7/1/2016,Net,260,53
211285,complete,UK_Chum Chum Tin Pack  500 Gms,260,1,600,100147549,Soghaat,0,cashatdoorstep,7/1/2016,Net,260,53
211286,complete,UK_Namkino Mix Nimco 200 Gms,80,1,600,100147549,Soghaat,0,cashatdoorstep,7/1/2016,Net,80,53
211287,complete,kcc_krone deal,360,1,360,100147550,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211288,complete,kcc_krone deal,360,1,360,100147551,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211289,canceled,EGO_E02377-SML-BG00-S,1950,2,3901,100147552,Women's Fashion,0,cod,7/1/2016,Gross,"3,900",55
211292,complete,kcc_krone deal,360,1,360,100147553,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211295,complete,kcc_krone deal,360,1,360,100147555,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211293,canceled,darzee_DP-234-B-Pink-15-M,1450,1,1450,100147554,Men's Fashion,0,ublcreditcard,7/1/2016,Gross,"1,450",52
211297,complete,kcc_krone deal,360,1,360,100147557,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211298,complete,kcc_krone deal,360,1,360,100147558,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211299,order_refunded,Q MOBILE Noir W7,3950,1,3950,100147559,Mobiles & Tablets,0,cod,7/1/2016,Valid,"3,950",56
211300,complete,kcc_krone deal,360,1,360,100147560,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211301,order_refunded,UK_Gulab Jamun Tin Pack 500 Gms,260,1,600,100147561,Soghaat,0,cashatdoorstep,7/1/2016,Valid,260,53
211302,order_refunded,UK_Chum Chum Tin Pack  500 Gms,260,1,600,100147561,Soghaat,0,cashatdoorstep,7/1/2016,Valid,260,53
211303,order_refunded,UK_Namkino Mix Nimco 200 Gms,80,1,600,100147561,Soghaat,0,cashatdoorstep,7/1/2016,Valid,80,53
211304,complete,kcc_krone deal,360,1,360,100147562,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211305,complete,kcc_krone deal,360,1,360,100147563,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211306,complete,kcc_krone deal,360,1,360,100147564,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211307,complete,kcc_krone deal,360,1,360,100147565,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211308,order_refunded,UK_Namkino Mix Nimco 8 Pcs Gift Pack,760,1,760,100147566,Soghaat,0,cod,7/1/2016,Valid,760,33
211309,complete,kcc_krone deal,360,1,360,100147567,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211310,complete,UK_Gulab Jamun Tin Pack 500 Gms,260,1,600,100147568,Soghaat,0,cashatdoorstep,7/1/2016,Net,260,53
211311,complete,UK_Chum Chum Tin Pack  500 Gms,260,1,600,100147568,Soghaat,0,cashatdoorstep,7/1/2016,Net,260,53
211312,complete,UK_Namkino Mix Nimco 200 Gms,80,1,600,100147568,Soghaat,0,cashatdoorstep,7/1/2016,Net,80,53
211313,complete,RS_Kaju Barfi,425,1,1125,100147569,Soghaat,0,cod,7/1/2016,Net,425,57
211314,complete,RS_Sohan Halwa Tin,300,1,1125,100147569,Soghaat,0,cod,7/1/2016,Net,300,57
211315,complete,RS_cake rusk,190,1,1125,100147569,Soghaat,0,cod,7/1/2016,Net,190,57
211316,complete,HR_Bhel Puri 200g,210,1,1125,100147569,Soghaat,0,cod,7/1/2016,Net,210,57
211317,complete,kcc_krone deal,360,1,360,100147570,Beauty & Grooming,0,cod,7/1/2016,Net,360,33
211318,complete,UK_Gulab Jamun Tin Pack 500 Gms,260,1,600,100147571,Soghaat,0,cashatdoorstep,7/1/2016,Net,260,53
211319,complete,UK_Chum Chum Tin Pack  500 Gms,260,1,600,100147571,Soghaat,0,cashatdoorstep,7/1/2016,Net,260,53
211320,complete,UK_Namkino Mix Nimco 200 Gms,80,1,600,100147571,Soghaat,0,cashatdoorstep,7/1/2016,Net,80,53
211321,canceled,UK_Gift Box Almond Delight 500 Gms,350,1,350,100147572,Soghaat,0,cod,7/1/2016,Gross,350,58
211322,order_refunded,UK_Gift Box Almond Delight 500 Gms,350,1,350,100147573,Soghaat,0,cod,7/1/2016,Valid,350,58
211324,complete,UK_Gulab Jamun Tin Pack 500 Gms,260,1,600,100147575,Soghaat,0,cashatdoorstep,7/1/2016,Net,260,53
211325,complete,UK_Chum Chum Tin Pack  500 Gms,260,1,600,100147575,Soghaat,0,cashatdoorstep,7/1/2016,Net,260,53
211326,complete,UK_Namkino Mix Nimco 200 Gms,80,1,600,100147575,Soghaat,0,cashatdoorstep,7/1/2016,Net,80,53
211323,order_refunded,UK_Namkino Mix Nimco 8 Pcs Gift Pack,760,1,760,100147574,Soghaat,0,cod,7/1/2016,Valid,760,33
211328,complete,kcc_krone deal,360,1,360,100147577,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211327,order_refunded,kcc_krone deal,360,1,360,100147576,Beauty & Grooming,0,cod,7/1/2016,Valid,360,33
211329,complete,UK_Soan Papdi 500 Gms,280,1,280,100147578,Soghaat,0,cod,7/1/2016,Net,280,59
211330,order_refunded,UK_Namkino Mix Nimco 8 Pcs Gift Pack,760,1,760,100147579,Soghaat,0,cod,7/1/2016,Valid,760,33
211332,complete,UK_Gulab Jamun Tin Pack 500 Gms,260,1,600,100147581,Soghaat,0,cashatdoorstep,7/1/2016,Net,260,53
211333,complete,UK_Chum Chum Tin Pack  500 Gms,260,1,600,100147581,Soghaat,0,cashatdoorstep,7/1/2016,Net,260,53
211334,complete,UK_Namkino Mix Nimco 200 Gms,80,1,600,100147581,Soghaat,0,cashatdoorstep,7/1/2016,Net,80,53
211331,complete,kcc_krone deal,360,1,360,100147580,Beauty & Grooming,0,cod,7/1/2016,Net,360,33
211336,order_refunded,UK_Namkino Mix Nimco 8 Pcs Gift Pack,760,1,760,100147583,Soghaat,0,cod,7/1/2016,Valid,760,33
211335,complete,kcc_krone deal,360,1,360,100147582,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211337,complete,kcc_krone deal,360,1,360,100147584,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211338,complete,kcc_krone deal,360,1,360,100147585,Beauty & Grooming,0,cod,7/1/2016,Net,360,33
211339,complete,kcc_krone deal,360,1,360,100147586,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211340,complete,kcc_glamour deal,320,1,320,100147587,Beauty & Grooming,0,cod,7/1/2016,Net,320,33
211341,complete,kcc_krone deal,360,1,360,100147588,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211342,complete,kcc_Buy 2 Frey Air Freshener & Get 1 Kasual Body Spray Free,240,1,240,100147589,Beauty & Grooming,0,cod,7/1/2016,Net,240,56
211343,complete,Al Muhafiz Sohan Halwa Almond,350,1,150,100147590,Soghaat,200,cod,7/1/2016,Net,350,60
211344,canceled,Huawei Honor 4C,16460,1,16460,100147591,Mobiles & Tablets,0,cod,7/1/2016,Gross,"16,460",61
211347,complete,bata_comfit-8614096-43-9,599,1,599,100147593,Men's Fashion,0,cod,7/1/2016,Net,599,62
211345,complete,bata_comfit-8614096-41-7,599,1,599,100147592,Men's Fashion,0,cod,7/1/2016,Net,599,63
211350,complete,kcc_krone deal,360,1,360,100147595,Beauty & Grooming,0,cod,7/1/2016,Net,360,63
211349,complete,kcc_krone deal,360,1,360,100147594,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211352,complete,UK_Gift Box Baklawa 300 Gms,265,1,155,100147597,Soghaat,149.3,cod,7/1/2016,Net,265,60
211353,complete,UK_Namkino Daal Moth Classic 160 Gms,90,1,155,100147597,Soghaat,50.7,cod,7/1/2016,Net,90,60
211351,complete,kcc_krone deal,360,1,360,100147596,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211354,complete,kcc_krone deal,360,1,360,100147598,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211355,complete,kcc_Bold Pocket Perfume,120,1,120,100147599,Beauty & Grooming,0,cod,7/1/2016,Net,120,63
211356,complete,kcc_krone deal,360,1,360,100147600,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211357,complete,kcc_krone deal,360,1,360,100147601,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211358,complete,UK_Gulab Jamun Tin Pack 500 Gms,260,1,150,100147602,Soghaat,148.57,cod,7/1/2016,Net,260,60
211359,complete,UK_Cake Rusk Original 150 Gms,90,1,150,100147602,Soghaat,51.43,cod,7/1/2016,Net,90,60
211360,complete,kcc_krone deal,360,1,360,100147603,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211361,complete,itter_AB 1207,250,1,250,100147604,Beauty & Grooming,0,cod,7/1/2016,Net,250,63
211362,complete,kcc_krone deal,360,1,360,100147605,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211363,complete,Samsung Galaxy J7,25999,1,25999,100147606,Mobiles & Tablets,0,cod,7/1/2016,Net,"25,999",64
211365,complete,kcc_glamour deal,320,1,920,100147608,Beauty & Grooming,0,cod,7/1/2016,Net,320,65
211366,complete,kcc_Buy 2 Frey Air Freshener & Get 1 Kasual Body Spray Free,240,1,920,100147608,Beauty & Grooming,0,cod,7/1/2016,Net,240,65
211367,complete,kcc_krone deal,360,1,920,100147608,Beauty & Grooming,0,cod,7/1/2016,Net,360,65
211364,complete,kcc_krone deal,360,1,360,100147607,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211368,order_refunded,Dany_AUK 55 ,3900,1,3900,100147609,Mobiles & Tablets,0,cod,7/1/2016,Valid,"3,900",66
211369,complete,kcc_krone deal,360,1,360,100147610,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211370,complete,anex_2028,3600,1,3600,100147611,Appliances,0,cod,7/1/2016,Net,"3,600",63
211371,complete,kcc_krone deal,360,1,360,100147612,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211372,complete,kcc_krone deal,360,1,360,100147613,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211373,order_refunded,Atiqa_ACFP-01,450,1,450,100147614,Beauty & Grooming,0,cod,7/1/2016,Valid,450,67
211375,complete,kcc_krone deal,360,1,360,100147616,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211374,complete,Al Muhafiz Sohan Halwa Almond,350,2,700,100147615,Soghaat,0,cod,7/1/2016,Net,700,68
211376,complete,UK_Soan Papdi Orange 250 Gms,150,1,168,100147617,Soghaat,81.52,cod,7/1/2016,Net,150,60
211377,complete,kcc_Xtreme Classical Men Shower Gel,143,1,168,100147617,Beauty & Grooming,77.72,cod,7/1/2016,Net,143,60
211378,complete,UK_Tea Rusk Regular 220 Gms,75,1,168,100147617,Soghaat,40.76,cod,7/1/2016,Net,75,60
211379,complete,kcc_krone deal,360,1,360,100147618,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211380,canceled,Atiqa_ACFP-01,450,1,450,100147619,Beauty & Grooming,0,cod,7/1/2016,Gross,450,67
211381,complete,kcc_krone deal,360,1,360,100147620,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211382,complete,kcc_krone deal,360,1,360,100147621,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211383,complete,kcc_krone deal,360,1,360,100147622,Beauty & Grooming,0,cod,7/1/2016,Net,360,43
211384,complete,kcc_Glow,140,1,140,100147623,Beauty & Grooming,0,cod,7/1/2016,Net,140,69
211385,complete,Al Muhafiz Sohan Halwa Almond,350,1,350,100147624,Soghaat,0,cod,7/1/2016,Net,350,70
211386,canceled,Atiqa_ACFP-01,450,1,450,100147625,Beauty & Grooming,0,cod,7/1/2016,Gross,450,67
211387,canceled,emo_HST-17030-B-M,550,1,900,100147626,Men's Fashion,0,cod,7/1/2016,Gross,550,71
